,Unnamed: 0,HomeTeam,AwayTeam,HomeScore,AwayScore,Time,Ref,HomeForm,AwayForm,HomeMissingPlayers,AwayMissingPlayers,Round,GD,HomeAtt,HomeDef,HomeMid,HomeOVR,AwayAtt,AwayDef,AwayMid,AwayOVR,y,Year,Month,Day,Round_Number
658,658,Leeds,Leicester,1,1,2021-11-07 16:00:00,Darren England,7,10,7,6,Premier League Round 11 2021/2022,0,78,76,78,77,82,79,81,80,0,2021,11,7,11
659,659,West Ham,Liverpool,3,2,2021-11-07 18:30:00,Craig Pawson,13,13,6,6,Premier League Round 11 2021/2022,1,79,79,79,79,86,85,83,84,1,2021,11,7,11
660,660,Leicester,Arsenal,0,2,2021-10-30 14:30:00,Michael Oliver,13,11,6,6,Premier League Round 10 2021/2022,-2,82,79,81,80,83,77,81,79,-1,2021,10,30,10
661,661,Burnley,Brentford,3,1,2021-10-30 17:00:00,Jonathan Moss,3,7,8,6,Premier League Round 10 2021/2022,2,76,77,76,76,73,73,74,73,1,2021,10,30,10
662,662,Liverpool,Brighton,2,2,2021-10-30 17:00:00,Mike Dean,13,3,6,6,Premier League Round 10 2021/2022,0,86,85,83,84,75,75,77,76,0,2021,10,30,10
663,663,Man City,Crystal Palace,0,2,2021-10-30 17:00:00,Andre Marriner,10,4,6,6,Premier League Round 10 2021/2022,-2,84,86,87,85,77,74,76,76,-1,2021,10,30,10
664,664,Newcastle,Chelsea,0,3,2021-10-30 17:00:00,Paul Tierney,3,15,6,6,Premier League Round 10 2021/2022,-3,79,74,75,76,84,81,86,83,-1,2021,10,30,10
665,665,Watford,Southampton,0,1,2021-10-30 17:00:00,Peter Bankes,4,4,6,6,Premier League Round 10 2021/2022,-1,74,73,75,75,76,73,77,76,-1,2021,10,30,10
666,666,Tottenham,Man United,0,3,2021-10-30 19:30:00,Stuart Attwell,9,7,6,6,Premier League Round 10 2021/2022,-3,86,80,80,82,85,83,84,84,-1,2021,10,30,10
667,667,Norwich,Leeds,1,2,2021-10-31 16:00:00,Anthony Taylor,2,4,6,6,Premier League Round 10 2021/2022,-1,76,74,74,74,78,76,78,77,-1,2021,10,31,10
668,668,Aston Villa,West Ham,1,4,2021-10-31 18:30:00,Chris Kavanagh,3,12,6,6,Premier League Round 10 2021/2022,-3,78,77,76,78,79,79,79,79,-1,2021,10,31,10
